id,category,category_rank,keyword,search_type,monthly_lower,monthly_upper,blog_documents,recent_posts,recent_posts_note,opportunity,persistence,home_fit,priority,overall_rank,search_source,live_pc_monthly,live_mobile_monthly,live_competition,live_depth,live_checked_at
K0036,경제·비즈니스,36,로또세금,세부 검색어,10530,10530,10322,576,수집결과 내 집계,87.0219784953499,86.90687500265882,50.0,79.5830517484726,264,네이버 검색광고 API,1830,8700,중간,8,2026-09-12T08:34:49+09:00
K0037,경제·비즈니스,37,주휴수당계산법,세부 검색어,10280,10280,4616,298,수집결과 내 집계,86.9673061782571,93.22781189204696,75.0,86.45199665674264,64,네이버 검색광고 API,2080,8200,낮음,0,2026-09-12T08:34:49+09:00
K0038,경제·비즈니스,38,종합소득세신고,세부 검색어,8270,8270,160656,985,이상(하한),53.11077607752527,76.88987966399996,62.5,62.12235193796262,735,네이버 검색광고 API,2260,6010,높음,10,2026-09-12T08:34:49+09:00
K0039,경제·비즈니스,39,건강보험료조회,도구·신청 혼합형,9940,9940,7224,823,수집결과 내 집계,86.92319354308732,92.92657258859725,50.0,81.33956854812284,203,네이버 검색광고 API,3460,6480,높음,10,2026-09-12T08:34:49+09:00
K0040,경제·비즈니스,40,종합소득세세율,세부 검색어,10030,10030,8557,151,수집결과 내 집계,86.82269381968285,92.03938092741006,75.0,86.02316118806445,73,네이버 검색광고 API,3530,6500,높음,10,2026-09-12T08:34:49+09:00
K0041,경제·비즈니스,41,아파트관리비조회,도구·신청 혼합형,9400,9400,1506,72,수집결과 내 집계,86.80577294443995,96.3041770553327,50.0,82.29413958881979,168,네이버 검색광고 API,2680,6720,중간,7,2026-09-12T08:34:49+09:00
K0042,경제·비즈니스,42,증여세신고,세부 검색어,9240,9240,27306,992,이상(하한),73.18880543770662,97.63441674319215,62.5,78.38472774181095,305,네이버 검색광고 API,4440,4800,높음,10,2026-09-12T08:34:49+09:00
K0043,경제·비즈니스,43,연봉5000실수령액,세부 검색어,9400,9400,816,49,수집결과 내 집계,86.3901598713626,95.72231213906153,75.0,86.91177357739976,53,네이버 검색광고 API,2030,7370,중간,1,2026-09-12T08:34:49+09:00
K0044,경제·비즈니스,44,양도소득세율,세부 검색어,7940,7940,5937,40,수집결과 내 집계,86.21143050595927,92.71700303512567,75.0,85.92081616351734,76,네이버 검색광고 API,2200,5740,높음,10,2026-09-12T08:34:49+09:00
K0045,경제·비즈니스,45,부가세환급,세부 검색어,6000,6000,24700,585,수집결과 내 집계,73.35653894038494,84.95266501244072,50.0,72.16406897392469,496,네이버 검색광고 API,1400,4600,높음,10,2026-09-12T08:34:49+09:00
K0046,경제·비즈니스,46,상속세계산기,도구·신청 혼합형,8220,8220,1308,41,수집결과 내 집계,85.76258920910044,92.14061089845467,75.0,85.52347787408662,82,네이버 검색광고 API,2160,6060,높음,10,2026-09-12T08:34:49+09:00
K0047,경제·비즈니스,47,실업급여이직확인서,세부 검색어,8000,8000,4284,183,수집결과 내 집계,85.70139333906425,94.44003205525006,50.0,81.18270628610715,212,네이버 검색광고 API,3180,4820,높음,3,2026-09-12T08:34:49+09:00
K0048,경제·비즈니스,48,퇴직연금중도인출,세부 검색어,7860,7860,3723,152,수집결과 내 집계,85.57003803124682,95.17090056843706,50.0,81.33628918615453,205,네이버 검색광고 API,1730,6130,높음,3,2026-09-12T08:34:49+09:00
K0049,경제·비즈니스,49,간이과세자기준,세부 검색어,8150,8150,5848,214,수집결과 내 집계,85.5208827481081,85.61179209572516,62.5,80.9439790027716,218,네이버 검색광고 API,2480,5670,높음,7,2026-09-12T08:34:49+09:00
K0050,경제·비즈니스,50,증여세신고방법,세부 검색어,7700,7700,6315,222,수집결과 내 집계,85.46418946419575,97.88444779733994,75.0,87.09742907129986,51,네이버 검색광고 API,2600,5100,높음,10,2026-09-12T08:34:49+09:00
K0051,경제·비즈니스,51,종합소득세율,세부 검색어,7340,7340,6608,140,수집결과 내 집계,85.24650384785522,88.265678971726,75.0,84.10295561544541,117,네이버 검색광고 API,3700,3640,높음,10,2026-09-12T08:34:49+09:00
K0052,경제·비즈니스,52,고용노동부퇴직금계산기,도구·신청 혼합형,7610,7610,630,48,수집결과 내 집계,85.20196704856869,95.03160186666531,75.0,86.11046408428393,71,네이버 검색광고 API,4870,2740,중간,1,2026-09-12T08:34:49+09:00
K0053,경제·비즈니스,53,증여세율,세부 검색어,6960,6960,3533,31,수집결과 내 집계,85.04333369096202,97.46332925333047,75.0,86.76066562148014,57,네이버 검색광고 API,2690,4270,높음,10,2026-09-12T08:34:49+09:00
K0054,경제·비즈니스,54,미국주식세금,세부 검색어,6390,6390,12522,605,수집결과 내 집계,78.29743317041958,89.12693530416627,50.0,75.88679717645967,389,네이버 검색광고 API,1000,5390,중간,4,2026-09-12T08:34:49+09:00
K0055,경제·비즈니스,55,퇴직금수령방법,세부 검색어,7040,7040,3817,141,수집결과 내 집계,84.90381476259466,97.50273147270954,75.0,86.7027268231102,60,네이버 검색광고 API,1070,5970,높음,3,2026-09-12T08:34:49+09:00
K0056,경제·비즈니스,56,실업급여신청기간,세부 검색어,6620,6620,10426,675,수집결과 내 집계,79.72138193498698,91.86849415679686,75.0,82.42123921453255,163,네이버 검색광고 API,1370,5250,중간,2,2026-09-12T08:34:49+09:00
K0057,경제·비즈니스,57,상속세율,세부 검색어,6650,6650,4215,48,수집결과 내 집계,84.61426666212147,92.59758312884435,75.0,85.08640826971404,89,네이버 검색광고 API,1590,5060,높음,10,2026-09-12T08:34:49+09:00
K0058,경제·비즈니스,58,종합소득세환급,세부 검색어,7160,7160,23166,389,수집결과 내 집계,68.74989267965792,81.33397190639455,50.0,68.77513791174732,574,네이버 검색광고 API,1500,5660,높음,9,2026-09-12T08:34:49+09:00
K0059,경제·비즈니스,59,퇴직금계산방법,세부 검색어,6420,6420,3086,133,수집결과 내 집계,84.195341532713,97.97582205844145,87.5,88.99041738388894,29,네이버 검색광고 API,2290,4130,중간,7,2026-09-12T08:34:49+09:00
K0060,경제·비즈니스,60,퇴직소득세계산기,도구·신청 혼합형,6210,6210,423,30,수집결과 내 집계,84.12397230410728,92.22698962005191,75.0,84.73008303806921,103,네이버 검색광고 API,3310,2900,높음,3,2026-09-12T08:34:49+09:00
K0061,경제·비즈니스,61,건강보험료계산,세부 검색어,6150,6150,6634,383,수집결과 내 집계,83.56090475853264,95.6923847843068,75.0,85.48816781455835,84,네이버 검색광고 API,2520,3630,높음,10,2026-09-12T08:34:49+09:00
K0062,경제·비즈니스,62,세금계산서발행방법,세부 검색어,6020,6020,8383,97,수집결과 내 집계,80.05136623096654,91.59581279164553,87.5,85.00442695297693,92,네이버 검색광고 API,2770,3250,높음,10,2026-09-12T08:34:49+09:00
K0063,경제·비즈니스,63,부가세신고기간,세부 검색어,5680,5680,15591,167,수집결과 내 집계,72.01397850486228,90.28661323868502,75.0,78.09297322403664,314,네이버 검색광고 API,1500,4180,높음,10,2026-09-12T08:34:49+09:00
K0064,경제·비즈니스,64,종합소득세환급일,세부 검색어,6050,6050,2793,42,수집결과 내 집계,83.82935839763644,79.86584235243791,50.0,75.8744319045496,390,네이버 검색광고 API,700,5350,높음,10,2026-09-12T08:34:49+09:00
K0065,경제·비즈니스,65,소득공제용연금저축,세부 검색어,5800,5800,934,4,수집결과 내 집계,83.74372364304551,96.60965023709251,50.0,80.8547568926505,222,네이버 검색광고 API,1290,4510,높음,10,2026-09-12T08:34:49+09:00
K0066,경제·비즈니스,66,전자세금계산서발행,세부 검색어,5620,5620,14523,125,수집결과 내 집계,71.09089394037944,92.49035386523013,75.0,78.29255312975876,310,네이버 검색광고 API,3490,2130,높음,10,2026-09-12T08:34:49+09:00
K0067,경제·비즈니스,67,증여세신고기한,세부 검색어,5270,5270,3257,139,수집결과 내 집계,83.25387511380447,98.11241794442589,62.5,83.56066294023,126,네이버 검색광고 API,1860,3410,높음,3,2026-09-12T08:34:49+09:00
K0068,경제·비즈니스,68,IRP세액공제,세부 검색어,4910,4910,13166,991,이상(하한),71.59323169824319,94.49278236447928,50.0,74.14445055846538,448,네이버 검색광고 API,1300,3610,높음,10,2026-09-12T08:34:49+09:00
K0069,경제·비즈니스,69,연차개수계산기,도구·신청 혼합형,5200,5200,282,21,수집결과 내 집계,83.0305510791942,97.25440703194026,75.0,85.69159764917917,80,네이버 검색광고 API,2730,2470,낮음,0,2026-09-12T08:34:49+09:00
K0070,경제·비즈니스,70,소득세율표,세부 검색어,4630,4630,1491,35,수집결과 내 집계,82.92110064858548,86.03168802137971,75.0,82.27005673070666,169,네이버 검색광고 API,1070,3560,높음,10,2026-09-12T08:34:49+09:00
K0071,경제·비즈니스,71,증여세기준,세부 검색어,4680,4680,15196,789,수집결과 내 집계,68.8990582459188,97.53894886906637,62.5,76.21121378367931,376,네이버 검색광고 API,750,3930,높음,7,2026-09-12T08:34:49+09:00
